dataset_id,title,aliases,availability,availability_detail,availability_group,domain,scope_screen,scope_reason,url,access,license_evidence,data_sources,introduced_by,related_papers,source_note
Datasets/Public/AGDD,AGDD,Aircraft Glass Defect Dataset | Aircraft glass canopy defect dataset,public,,Public,Glass inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/core128/AGDD,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International,GitHub,2024 - Dual-Modal Illumination System for Defect Detection of Aircraft Glass Canopies,,Datasets/Public/AGDD.md
Datasets/Public/AITEX,AITEX,AITEX | AITEX AFID | Public fabric defect database,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.aitex.es/afid/,,,AITEX AFID | factory capture system | www.aitex.es/afid,2019 - A Public Fabric Database for Defect Detection Methods and Results,,Datasets/Public/AITEX.md
Datasets/Public/APDDD,APDDD,Aluminum Profile Surface Defect Detection Dataset | Aluminum Profile Surface Detection Database,public,,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://tianchi.aliyun.com/dataset/148297,,,Alibaba Cloud Tianchi | 2018 Guangdong Industrial Intelligent Manufacturing Big Data Innovation Competition,,2025 - You Only Look Once-Aluminum | 2024 - Surface Defect Detection of Hot Rolled Steel Based on Multi-Scale Feature Fusion and Attention Mechanism Residual Block,Datasets/Public/APDDD.md
Datasets/Public/AutoVI,AutoVI,AutoVI | Automotive Visual Inspection Dataset | The Automotive Visual Inspection Dataset,public,,Public,Automotive manufacturing,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://zenodo.org/records/10459003,open,CC-BY-NC-SA-4.0,Zenodo | Renault Group automotive production lines,2024 - Detecting Visual Anomalies in an Industrial Environment Unsupervised Methods Put to the Test on the AutoVI Dataset,2024 - Detecting Visual Anomalies in an Industrial Environment Unsupervised Methods Put to the Test on the AutoVI Dataset,Datasets/Public/AutoVI.md
Datasets/Public/Batavia and Sarga woven fabric images,Batavia and Sarga woven fabric images,Original and processed dataset of Batavia and Sarga woven fabric images | Batavia and Sarga fabric defect dataset,public,,Public,Textile and fiber inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://doi.org/10.36443/10259/9965,,,DOI landing page,2025 - Dataset for Defect Detection in Textile Manufacturing,,Datasets/Public/Batavia and Sarga woven fabric images.md
Datasets/Public/BenchmarkELimages,BenchmarkELimages,Benchmark datasets for defect detection in EL images of solar cells using semantic segmentation | Benchmark dataset of solar PV EL images and ground truth masks | PV EL semantic segmentation benchmark,public,,Public,Solar cells and photovoltaic,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/TheMakiran/BenchmarkELimages,,,GitHub | Dropbox | CSIR Energy Centre | CFV Labs | ARTsolar | CWRU SDLE Research Center | ZAE Bayern,2023 - A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation,2023 - A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation,Datasets/Public/BenchmarkELimages.md
Datasets/Public/Bosch Production Line Performance,Bosch Production Line Performance,Bosch Production Line Performance | Bosch Production Line Performance dataset | Bosch assembly line fault detection dataset,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://www.kaggle.com/c/bosch-production-line-performance,public Kaggle competition data; Kaggle account and competition rules may be required,,Kaggle | Bosch,,2016 - Predict Failures in Production Lines A Two-stage Approach with Clustering and Supervised Learning | https://openalex.org/W2583522268,Datasets/Public/Bosch Production Line Performance.md
Datasets/Public/Bosch Surface Defect Inspection Dataset,Bosch Surface Defect Inspection Dataset,Bosch Surface Defect Inspection Dataset | Bosch industrial dataset | Surface Defect Inspection | SDI,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/boschresearch/The-Surface-Defect-Inspection-Dataset,public archived GitHub repository with SDI_DATASET_v1.zip,CC-BY-SA-4.0,https://github.com/boschresearch/The-Surface-Defect-Inspection-Dataset | https://github.com/boschresearch/The-Surface-Defect-Inspection-Dataset/blob/main/SDI_DATASET_v1.zip,2022 - Defect Transfer GAN Diverse Defect Synthesis for Data Augmentation,2022 - Defect Transfer GAN Diverse Defect Synthesis for Data Augmentation,Datasets/Public/Bosch Surface Defect Inspection Dataset.md
Datasets/Public/Bottle-Cap Dataset,Bottle-Cap Dataset,Bottle-Cap Dataset | BottleCap | BC defects | Bottle-Cap,public,,Public,Multi-industry anomaly detection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/zhg-SZPT/MeDetection/tree/master/dataset/BC%20defects,public GitHub repository dataset folder,,GitHub,[Adaptive visual detection of industrial product defects](https://doi.org/10.7717/peerj-cs.1264),[Adaptive visual detection of industrial product defects](https://doi.org/10.7717/peerj-cs.1264) | 2024 - FEGAN A Feature Extraction Based Approach for GAN Anomaly Detection and Localization,Datasets/Public/Bottle-Cap Dataset.md
Datasets/Public/BSData,BSData,Industrial Machine Tool Component Surface Defect Dataset | Industrial Machine Tool Element Surface Defect Dataset | Ball Screw Drive Surface Defect Dataset,public,public,Public,Metal inspection,manufacturing candidate,No automated non-manufacturing domain exclusion matched; manual scope confirmation required.,https://github.com/2Obe/BSData,,CC-BY-SA-4.0,GitHub | KITopen,2021 - Industrial Machine Tool Component Surface Defect Dataset,,Datasets/Public/BSData.md
